name,coordX,coordY,rotation,scaleX,scaleY
Kabana-15,505.27585882947153,463.6112678786941,150,1.7,1.5
Kabana-14,523.1643236448481,433.38561389615273,150,1.7,1.5
Kabana-11,525.7021426549742,551.6584472979919,150,1.7,1.5
Kabana-16,846.9871714590925,432.73275194053446,0,1.7,1.5
Kabana-22,991.5704097633761,600.499465975257,0,1.7,2.3
Kabana-18,846.0759323244706,501.70428259636503,0,1.7,1.3
Kabana-07,376.97789351402736,442.07400801967987,150,1.7,1.5
Kabana-08,359.14155549372435,473.10113252054384,150,1.7,1.5
Kabana-10,510.3138885552062,582.2531686512906,150,1.7,1.5
Kabana-02,412.68839289767476,263.75333740448184,150,1.7,1.5
Kabana-03,372.49688406431335,242.26957959572553,150,1.7,1.5
VIP Kabana-27,578.5344617518988,204.09596618358972,0,1.4,1.5
Kabana-04,470.66332236065864,371.3293464046155,150,1.7,1.5
Kabana-19,787.7888170956081,546.0924451008589,0,1.7,2.4
Kabana-09,343.3982747381765,502.22434344778486,150,1.7,1.5
Kabana-05,455.82558563261364,400.8298302424108,150,1.7,1.5
Kabana-24,935.0333678552338,466.70544928881435,0,1.8,1.5
Kabana-06,438.52303353604316,430.50234817876134,150,1.7,1.5
Kabana-13,538.982332633328,403.1687150818666,150,1.7,1.5
Kabana-23,935.3567471376261,502.0329275958484,0,1.7,1.5
VIP Kabana-26,539.0822574984783,202.38581504130184,0,1.3,1.5
Kabana-01,454.0542911452915,282.7571789543597,150,1.7,1.5
Kabana-20,787.7173158818032,597.0822814080436,0,1.8,2.3
Kabana-25,933.5657646669313,432.0588173157635,0,1.7,1.5
Kabana-12,541.2373152918119,520.281343872019,150,1.7,1.5
Kabana-21,992.2620484153547,548.0394511825886,0,1.9,2.2
Kabana-17,845.9289330786726,468.42467709779896,0,1.7,1.5
